Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Dimensions
GAZEBO-MUSHROOM,GAZEBO MUSHROOM,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 9130</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: MUSHROOM</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% POLY</p><p class=""magfabrics-double-rubs"">Double Rubs: 30,000</p><p class=""magfabrics-designs"">Design: Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Easy Clean, Solids/Small Scale</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: PASSES UFAC CL 1, CA 117</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,9130,,,7.625,continue,manual,56.00,,,,,https://images.magfabrics.com/fabrics/GAZEBO%20MUSHROOM.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GAZEBO-SPRUCE,GAZEBO SPRUCE,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 9126</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: SPRUCE</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% POLY</p><p class=""magfabrics-double-rubs"">Double Rubs: 30,000</p><p class=""magfabrics-designs"">Design: Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Easy Clean, Solids/Small Scale</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: PASSES UFAC CL 1, CA 117</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,9126,,,36.75,continue,manual,56.00,,,,,https://images.magfabrics.com/fabrics/GAZEBO%20SPRUCE.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GAZEBO-TAWNY,GAZEBO TAWNY,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 9131</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: TAWNY</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% POLY</p><p class=""magfabrics-double-rubs"">Double Rubs: 30,000</p><p class=""magfabrics-designs"">Design: Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Easy Clean, Solids/Small Scale</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: PASSES UFAC CL 1, CA 117</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,9131,,,23.25,continue,manual,56.00,,,,,https://images.magfabrics.com/fabrics/GAZEBO%20TAWNY.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GEMSBLUSH,GEMS BLUSH,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 11409</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 14</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 37</p><p class=""magfabrics-color"">Color: BLUSH</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 52 POLY, 48 VISC</p><p class=""magfabrics-double-rubs"">Double Rubs: 18,000</p><p class=""magfabrics-designs"">Design: Dots/Circles, Small Scale Woven</p><p class=""magfabrics-categories"">Categories: Solids/Small Scale, Velvet</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: INDIA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: UFAC/NFPA 260Class 1, Cal. 117-2013</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,11409,,,20.8,continue,manual,116.00,,,,,https://images.magfabrics.com/fabrics/GEMS%20BLUSH.JPG,,,,,,,,,,,,,,,,,,,,,,,,,active,
GEMSBLUSH,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GEMS%20BLUSH%201.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMSBLUSH,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GEMS%20BLUSH%202.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMSHAZY,GEMS HAZY,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 10677</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 14</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 37</p><p class=""magfabrics-color"">Color: HAZY</p><p class=""magfabrics-uses"">Uses: Multipurpose</p><p class=""magfabrics-contents"">Contents: 52 POLY, 48 VIS</p><p class=""magfabrics-double-rubs"">Double Rubs: 18,000</p><p class=""magfabrics-designs"">Design: Dots/Circles, Small Scale Woven</p><p class=""magfabrics-categories"">Categories: Solids/Small Scale, Velvet</p><p class=""magfabrics-width"">Width: 56</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: INDIA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: UFAC 1, CA 117</p></div>",MagFabrics,,,Multipurpose,TRUE,,,,,,,10677,,,29.8,continue,manual,116.00,,,,,https://images.magfabrics.com/fabrics/GEMS%20HAZY.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GEMSHAZY,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GEMS%20HAZY%201.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMSHAZY,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GEMS%20HAZY%202.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMSROYAL,GEMS ROYAL,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 10676</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 14</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 37</p><p class=""magfabrics-color"">Color: ROYAL</p><p class=""magfabrics-uses"">Uses: Multipurpose</p><p class=""magfabrics-contents"">Contents: 52 POLY, 48 VIS</p><p class=""magfabrics-double-rubs"">Double Rubs: 18,000</p><p class=""magfabrics-designs"">Design: Dots/Circles, Small Scale Woven</p><p class=""magfabrics-categories"">Categories: Solids/Small Scale, Velvet</p><p class=""magfabrics-width"">Width: 56</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: INDIA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: UFAC 1, CA 117</p></div>",MagFabrics,,,Multipurpose,TRUE,,,,,,,10676,,,31.5,continue,manual,116.00,,,,,https://images.magfabrics.com/fabrics/GEMS%20ROYAL.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GEMSROYAL,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GEMS%20ROYAL%201.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMSROYAL,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GEMS%20ROYAL%203.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMSSHAMROCK,GEMS SHAMROCK,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 10678</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 14</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 37</p><p class=""magfabrics-color"">Color: SHAMROCK</p><p class=""magfabrics-uses"">Uses: Multipurpose</p><p class=""magfabrics-contents"">Contents: 52 POLY, 48 VIS</p><p class=""magfabrics-double-rubs"">Double Rubs: 18,000</p><p class=""magfabrics-designs"">Design: Dots/Circles, Small Scale Woven</p><p class=""magfabrics-categories"">Categories: Solids/Small Scale, Velvet</p><p class=""magfabrics-width"">Width: 56</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: INDIA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: UFAC 1, CA 117</p></div>",MagFabrics,,,Multipurpose,TRUE,,,,,,,10678,,,43.3,continue,manual,116.00,,,,,https://images.magfabrics.com/fabrics/GEMS%20SHAMROCK.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GEMSSHAMROCK,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GEMS%20SHAMROCK%201.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMSSHAMROCK,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GEMS%20SHAMROCK2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GENESIS-BLUE,GENESIS BLUE,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 9097</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 13.50</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 26.75</p><p class=""magfabrics-color"">Color: BLUE</p><p class=""magfabrics-uses"">Uses: Drapery, Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 36POLY26CTN22VISC16LIN</p><p class=""magfabrics-double-rubs"">Double Rubs: 30,000</p><p class=""magfabrics-designs"">Design: Floral, Medallion</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: PASSES UFAC CL1, CA 117</p></div>",MagFabrics,,,"Drapery, Multipurpose, Upholstery",TRUE,,,,,,,9097,,,59.25,continue,manual,92.00,,,,,https://images.magfabrics.com/fabrics/GENESIS%20BLUE.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GERTRUDEGOLDENM,GERTRUDE GOLDENMINT,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 10333</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 25.75</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 15.25</p><p class=""magfabrics-color"">Color: GOLDENMINT</p><p class=""magfabrics-uses"">Uses: Drapery, Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% COT, EMB- 78% VIS, 22% POLY</p><p class=""magfabrics-double-rubs"">Double Rubs: 42,000</p><p class=""magfabrics-designs"">Design: Embroidery, Floral</p><p class=""magfabrics-categories"">Categories: Crewels/Embroideries</p><p class=""magfabrics-width"">Width: 52</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: INDIA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: UFAC-1, CA-117</p></div>",MagFabrics,,,"Drapery, Multipurpose, Upholstery",TRUE,,,,,,,10333,,,9.75,continue,manual,154.00,,,,,https://images.magfabrics.com/fabrics/GERTRUDE%20GOLDENMINT.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GERTRUDEGOLDENM,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GERTRUDE%20GOLDENMINT%202.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GERTRUDEOXFORD,GERTRUDE OXFORD,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 10335</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 25.75</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 15.25</p><p class=""magfabrics-color"">Color: OXFORD</p><p class=""magfabrics-uses"">Uses: Drapery, Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% COT, EMB- 78% VIS, 22% POLY</p><p class=""magfabrics-double-rubs"">Double Rubs: 42,000</p><p class=""magfabrics-designs"">Design: Embroidery, Floral</p><p class=""magfabrics-categories"">Categories: Crewels/Embroideries</p><p class=""magfabrics-width"">Width: 52</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: INDIA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: UFAC 1, CA 117</p></div>",MagFabrics,,,"Drapery, Multipurpose, Upholstery",TRUE,,,,,,,10335,,,27.625,continue,manual,154.00,,,,,https://images.magfabrics.com/fabrics/GERTRUDE%20OXFORD.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GERTRUDEOXFORD,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GERTRUDE%20OXFORD2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GHENTADRIATIC,GHENT ADRIATIC,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 11907</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 14</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 31</p><p class=""magfabrics-color"">Color: ADRIATIC</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 52% POLYESTER, 48% VISCOSE</p><p class=""magfabrics-double-rubs"">Double Rubs: 55,000 WYZ</p><p class=""magfabrics-designs"">Design: Damask</p><p class=""magfabrics-categories"">Categories: Velvet</p><p class=""magfabrics-width"">Width: 54</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: INDIA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: CA TB 117-2013</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,11907,,,49.575,continue,manual,126.00,,,,,https://images.magfabrics.com/fabrics/GHENT%20ADRIATIC.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GHENTADRIATIC,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GHENT%20ADRIATIC-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GHENTADRIATIC,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GHENT%20ADRIATIC-3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GHENTADRIATIC,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GHENT%20ADRIATIC-4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GILLIAN-BARK,GILLIAN BARK,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 9864</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 10.50</p><p class=""magfabrics-color"">Color: BARK</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 65POLY/35CTN</p><p class=""magfabrics-double-rubs"">Double Rubs: 50,000</p><p class=""magfabrics-designs"">Design: Stripe</p><p class=""magfabrics-categories"">Categories: Chenille, Wovens</p><p class=""magfabrics-width"">Width: 55""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: PASSES UFAC CL1, CA 117</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,9864,,,30.875,continue,manual,54.00,,,,,https://images.magfabrics.com/fabrics/GILLIAN%20BARK.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GIMMICK-AGGIE,GIMMICK AGGIE,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 9096</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 13.50</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 13.50</p><p class=""magfabrics-color"">Color: AGGIE</p><p class=""magfabrics-uses"">Uses: Drapery, Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 36POLY26CTN22VISC16LIN</p><p class=""magfabrics-double-rubs"">Double Rubs: 30,000</p><p class=""magfabrics-designs"">Design: Abstract</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: PASSES UFAC CL1, CA 117</p></div>",MagFabrics,,,"Drapery, Multipurpose, Upholstery",TRUE,,,,,,,9096,,,14.625,continue,manual,92.00,,,,,https://images.magfabrics.com/fabrics/GIMMICK%20AGGIE.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GIMMICK-PACIFIC,GIMMICK PACIFICA,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 9094</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 13.50</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 13.50</p><p class=""magfabrics-color"">Color: PACIFICA</p><p class=""magfabrics-uses"">Uses: Drapery, Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 36POLY26CTN22VISC16LIN</p><p class=""magfabrics-double-rubs"">Double Rubs: 30,000</p><p class=""magfabrics-designs"">Design: Abstract, Novelty</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: PASSES UFAC CL1, CA 117</p></div>",MagFabrics,,,"Drapery, Multipurpose, Upholstery",TRUE,,,,,,,9094,,,31.875,continue,manual,92.00,,,,,https://images.magfabrics.com/fabrics/GIMMICK%20PACIFICA.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GIMMICK-SKYSAND,GIMMICK SKYSAND,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 9095</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 13.50</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 13.50</p><p class=""magfabrics-color"">Color: SKYSAND</p><p class=""magfabrics-uses"">Uses: Drapery, Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 36POLY26CTN22VISC16LIN</p><p class=""magfabrics-double-rubs"">Double Rubs: 30,000</p><p class=""magfabrics-designs"">Design: Abstract, Novelty</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: PASSES UFAC CL1, CA 117</p></div>",MagFabrics,,,"Drapery, Multipurpose, Upholstery",FALSE,,,,,,,9095,,,7.625,continue,manual,92.00,,,,,https://images.magfabrics.com/fabrics/GIMMICK%20SKYSAND.jpg,,,,,,,,,,,,,,,,,,,,,,,,,archived,
GINGKORIVER,GINGKO RIVER,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 10298</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 18</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 15.25</p><p class=""magfabrics-color"">Color: RIVER</p><p class=""magfabrics-uses"">Uses: Drapery, Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 33 VIS, 26 POLY, 26 LIN, 15 RAY</p><p class=""magfabrics-double-rubs"">Double Rubs: 91000</p><p class=""magfabrics-designs"">Design: Asian, Leaves</p><p class=""magfabrics-categories"">Categories: Crewels/Embroideries</p><p class=""magfabrics-width"">Width: 54</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: UFAC-1, CA-117</p></div>",MagFabrics,,,"Drapery, Multipurpose, Upholstery",TRUE,,,,,,,10298,,,18.125,continue,manual,130.00,,,,,https://images.magfabrics.com/fabrics/GINGKO%20RIVER.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GLADESSGREEN,GLADESS GREEN,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 10687</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 27.25</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 26</p><p class=""magfabrics-color"">Color: GREEN</p><p class=""magfabrics-uses"">Uses: Drapery, Multipurpose</p><p class=""magfabrics-contents"">Contents: 55 LIN, 45 VIS</p><p class=""magfabrics-double-rubs"">Double Rubs: 12,000</p><p class=""magfabrics-designs"">Design: Floral</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 55</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: KOREA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: UFAC 1, CA 117</p></div>",MagFabrics,,,"Drapery, Multipurpose",TRUE,,,,,,,10687,,,22.625,continue,manual,68.00,,,,,https://images.magfabrics.com/fabrics/GLADESS%20GREEN.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GLADESSGREEN,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GLADESS%20GREEN%202.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENWOODFOREST,GLENWOOD FOREST,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12333</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 18</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 12.5</p><p class=""magfabrics-color"">Color: FOREST</p><p class=""magfabrics-uses"">Uses: Bedding, Drapery, Multipurpose</p><p class=""magfabrics-contents"">Contents: 100% COTTON</p><p class=""magfabrics-designs"">Design: Leaves, Tropical/Botanical</p><p class=""magfabrics-categories"">Categories: Crewels/Embroideries, Prints</p><p class=""magfabrics-width"">Width: 52</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: INDIA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p></div>",MagFabrics,,,"Bedding, Drapery, Multipurpose",TRUE,,,,,,,12333,,,24,continue,manual,160.00,,,,,https://images.magfabrics.com/fabrics/GLENWOOD%20FOREST.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GLENWOODFOREST,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GLENWOOD%20FOREST-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENWOODFOREST,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GLENWOOD%20FOREST-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENWOODFOREST,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GLENWOOD%20FOREST-3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENWOODFOREST,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/GLENWOOD%20FOREST-5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
GOGA-DENIM,GOGA DENIM,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 7796</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 5.00</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 8.50</p><p class=""magfabrics-color"">Color: DENIM</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% POLY</p><p class=""magfabrics-double-rubs"">Double Rubs: 55,000</p><p class=""magfabrics-designs"">Design: Diamond/Ogee</p><p class=""magfabrics-categories"">Categories: Wovens</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: CA 117/UFAC 1</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,7796,,,13.75,continue,manual,78.00,,,,,https://images.magfabrics.com/fabrics/GOGA%20DENIM.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
GOYA-SEASIDE,GOYA SEASIDE,"<div class=""magfabrics-body""><p class=""magfabrics-description"">Description: This fabric is linen rich. The variations in shade, texture and color are qualities unique to authentic linen. Both the random shading and textural variations highlight the natural beauty and aesthetics of the linen fiber.</p><p class=""magfabrics-sku"">MagFabrics SKU #: 6934</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 27.00</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 25.25</p><p class=""magfabrics-color"">Color: SEASIDE</p><p class=""magfabrics-uses"">Uses: Multipurpose</p><p class=""magfabrics-contents"">Contents: 100% LINEN</p><p class=""magfabrics-double-rubs"">Double Rubs: 12,000</p><p class=""magfabrics-designs"">Design: Floral</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 51""-53""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: DC</p><p class=""magfabrics-origin"">Origin: UK</p><p class=""magfabrics-brand"">Brand: MagFabrics</p></div>",MagFabrics,,,Multipurpose,TRUE,,,,,,,6934,,,29.625,continue,manual,172.00,,,,,https://images.magfabrics.com/fabrics/GOYA%20SEASIDE.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
